nimi_suomi,nimi_ruotsi,x,y,kunta
Keimolanportti,Käinbyporten,25491048.0,6689070.0,Vantaa
Ritarikuja,Riddargränden,25491904.86,6690482.248,Vantaa
Honkasuontunneli,Hongamosstunneln,25491916.0,6682508.0,Vantaa
Vantaannotko,Vandadälden,25491406.73,6687359.552,Vantaa
Jokiniemenkuja,Ånäsgränden,25502932.28,6686471.726,Vantaa
Uunimäentie,Ugnsbacksvägen,25508213.01,6686784.918,Vantaa
Pikkusiilinkuja,Lilligelkottsgränden,25504702.0,6693267.0,Vantaa
Santamäenkuja,Sandbacksgränden,25489044.25,6683791.952,Vantaa
Pihakoivuntie,Gårdsbjörksvägen,25488176.48,6687319.215,Vantaa
Vaaralankulma,Fagerstavinkeln,25505266.47,6683780.831,Vantaa
Vihnepolku,Sådstigen,25503568.24,6687661.523,Vantaa
Esterinkuja,Estergränden,25505798.45,6690385.212,Vantaa
Kaapukuja,Kåpgränden,25492078.86,6687115.519,Vantaa
Kitarakuja,Gitarrgränden,25501630.66,6690628.037,Vantaa
Kärppäkuja,Hermelingränden,25504840.71,6694579.367,Vantaa
Hepokuja,Hästgränden,25505799.73,6684552.068,Vantaa
Aeronportti,Aeroporten,25498426.0,6688132.0,Vantaa
Hakepolku,Flisstigen,25488160.0,6686485.0,Vantaa
Lehtopöllöntie,Kattugglevägen,25502843.0,6694325.0,Vantaa
Metsärinne,Skogsbranten,25491103.36,6696056.737,Vantaa
Emosiilinkuja,Honigelkottsgränden,25504768.0,6693253.0,Vantaa
Väinönpolku,Väinöstigen,25505063.3,6690088.742,Vantaa
Metsätähdenkuja,Skogsstjärnegränden,25502288.32,6688619.203,Vantaa
Rajalantie,Rajalavägen,25492394.0,6691662.0,Vantaa
Lavangonkiventie,Lavangostensvägen,25496466.0,6692003.0,Vantaa
Muurahaisentaival,Myrstråten,25507495.22,6691684.397,Vantaa
Teknikonkuja,Teknikergränden,25497562.49,6688403.873,Vantaa
Suoniityntie,Ängskärrsvägen,25495102.1,6694057.851,Vantaa
Vestranmäki,Västrabacken,25487173.6,6690773.085,Vantaa
Tinakuja,Tenngränden,25492674.33,6682890.531,Vantaa
Metsolanportti,Skogsporten,25504532.76,6692714.979,Vantaa
Härkälenkki,Oxlänken,25491520.0,6686803.0,Vantaa
Naurispolku,Rovstigen,25502684.0,6688504.0,Vantaa
Hopeatie,Silvervägen,25505502.44,6683004.242,Vantaa
Murtopakantanhua,Murtobackatunet,25492638.0,6690138.0,Vantaa
Laulurastaankuja,Taltrastgränden,25503093.73,6692576.004,Vantaa
Juhlakuja,Festgränden,25496800.44,6686526.716,Vantaa
Keidaskuja,Högmossegränden,25503834.93,6685545.081,Vantaa
Kalastajankuja,Fiskargränden,25506440.96,6692575.973,Vantaa
Purolaakso,Bäckdalen,25487862.12,6685914.564,Vantaa
Ratsumestarinkuja,Ryttmästargränden,25506545.0,6684681.0,Vantaa
Välirinne,Mellanbrinken,25488104.28,6686496.922,Vantaa
Oksanmäki,Oksasbacken,25502040.88,6687349.594,Vantaa
Kotkankaula,Örnhalsen,25504181.0,6692855.0,Vantaa
Tiirakuja,Tärngränden,25502209.66,6694165.005,Vantaa
Tuulankuja,Tuulagränden,25504420.08,6690652.13,Vantaa
Taalainkoivuntie,Ornäsbjörksvägen,25488054.0,6686788.0,Vantaa
Ajomiehenpolku,Körkarlens stig,25504539.62,6692004.433,Vantaa
Rintapolku,Släntstigen,25500101.75,6690933.463,Vantaa
Kierrekuja,Skruvgängsgränden,25489793.35,6683341.661,Vantaa
Kuutinpiha,Kutgården,25505788.58,6693959.712,Vantaa
Raikurinne,Skallbrinken,25492397.34,6684965.518,Vantaa
Piispanrinne,Biskopsbrinken,25492250.66,6687758.433,Vantaa
Lepinkäisenkuja,Törnskatsgränden,25503375.0,6695216.0,Vantaa
Kaarnapolku,Barkstigen,25493223.15,6689931.431,Vantaa
Viinikkalanpolku,Vinikbystigen,25493336.24,6687707.526,Vantaa
Kakolanpolku,Kakolastigen,25488680.0,6684893.0,Vantaa
Purosillankuja,Bäckbrogränden,25508634.59,6682191.727,Vantaa
Pihapolku,Gårdsstigen,25491438.76,6693090.829,Vantaa
Perhepuistontie,Familjeparksvägen,25503885.49,6692098.368,Vantaa
Västäräkkikuja,Sädesärlsgränden,25504187.79,6695472.069,Vantaa
Krakankuja,Skrakagränden,25496910.6,6686255.124,Vantaa
Parrukuja,Bjälkgränden,25487785.47,6685137.842,Vantaa
Varikkokaarre,Depåsvängen,25490538.02,6689706.436,Vantaa
Visapolku,Masurstigen,25493315.61,6689916.226,Vantaa
Aunentie,Agnesvägen,25505803.96,6690688.932,Vantaa
Perhorinne,Fjärilsbrinken,25508045.18,6692555.538,Vantaa
Ruutulipunkuja,Målflaggsgränden,25490469.68,6689563.847,Vantaa
Kevättuulenpolku,Vårvindsstigen,25494948.0,6693909.0,Vantaa
Kymmenyskuja,Tiondegränden,25502698.34,6691221.159,Vantaa
Luumurinne,Plommonbrinken,25500872.76,6689376.019,Vantaa
Ylismaantie,Yvjasvägen,25505013.45,6688845.661,Vantaa
Naalipuistontie,Fjällrävsparksvägen,25505083.1,6693104.278,Vantaa
Knapaksenkuja,Knapasgränden,25499075.38,6685844.146,Vantaa
Lumikuja,Snögränden,25500773.65,6690343.313,Vantaa
Punasafiirinpolku,Rödsafirsstigen,25491779.0,6689261.0,Vantaa
Patruunankuja,Patronsgränden,25497993.16,6685296.153,Vantaa
Lehmihaka,Kohagen,25504174.01,6689810.794,Vantaa
Nuolenkärjentie,Pilspetsvägen,25494622.0,6687082.0,Vantaa
Pulmusenkuja,Snösparvsgränden,25503445.0,6694655.0,Vantaa
Laurentiuksenkuja,Laurentiusgränden,25502835.08,6691600.244,Vantaa
Kurupolku,Kurustigen,25506534.75,6681549.068,Vantaa
Kreivinkuja,Grevegränden,25497878.39,6685290.474,Vantaa
Saunalenkki,Bastulänken,25490375.17,6690077.929,Vantaa
Kangasmäki,Mobacken,25492539.41,6690574.391,Vantaa
Currenkuja,Curres gränd,25490702.74,6689556.803,Vantaa
Narsissitie,Narcissvägen,25500382.82,6689214.807,Vantaa
Pirjonrinne,Pirjobrinken,25504822.85,6691291.336,Vantaa
Syystuulenpolku,Höstvindsstigen,25495003.64,6694299.518,Vantaa
Prinsessankuja,Prinsessgränden,25506071.14,6688387.714,Vantaa
Vänrikinkuja,Fänriksgränden,25491571.89,6690953.21,Vantaa
Saarniharjunkuja,Askåsgränden,25488154.29,6683760.827,Vantaa
Kaakelikaari,Kakelsvängen,25489956.99,6685375.778,Vantaa
Tavastkullanmäki,Tavastkullabacken,25488414.82,6684194.117,Vantaa
